
Epoch	Training Loss	Validation Loss
1	2.906700	5.879181
2	4.583700	1.277442
3	1.051900	0.877575
4	0.776800	0.704970
5	0.594600	0.485150
6	0.440100	0.396486
7	0.389500	0.364190
8	0.338300	0.307855
9	0.302400	0.278644
10	0.275500	0.261039
11	0.255900	0.249487
12	0.248200	0.223260
13	0.236400	0.223341
14	0.223600	0.215563
15	0.207000	0.210275
16	0.197000	0.200886
17	0.193000	0.380235
18	0.234300	0.226173
19	0.185900	0.212930
20	0.182400	0.226155
21	0.179000	0.215568
22	0.162500	0.200257
23	0.161200	0.206305
24	0.159400	0.206637
25	0.147100	0.199435
26	0.142800	0.203170
27	0.134300	0.204658
28	0.137000	0.198601
29	0.127100	0.211814
30	0.116600	0.220004
31	0.117800	0.208663
32	0.107500	0.213906
33	0.103500	0.207438
34	0.093300	0.211374
35	0.092100	0.215804
36	0.084200	0.218155
37	0.085900	0.209470
38	0.081300	0.230655
39	0.074600	0.223656
40	0.068700	0.220351
41	0.065900	0.220346
42	0.063200	0.223953
43	0.058100	0.237040
44	0.057600	0.228735
45	0.051800	0.218422
46	0.051300	0.224992
47	0.048100	0.231276
48	0.056600	0.226521
49	0.048100	0.228891
50	0.040900	0.229654
51	0.035900	0.224404
52	0.034100	0.232101
53	0.033700	0.252786
54	0.029200	0.229235
55	0.031000	0.236203
56	0.025800	0.238114
57	0.026900	0.240815
58	0.026300	0.239038
59	0.027300	0.236389
60	0.025200	0.248099
61	0.022600	0.236768
62	0.020400	0.239203
63	0.020800	0.252626
64	0.021900	0.253834
65	0.017900	0.243642
66	0.018100	0.244012
67	0.016100	0.242701
68	0.015700	0.241298
69	0.013700	0.245033
70	0.013900	0.236973
71	0.014800	0.245833
72	0.013300	0.237818
73	0.012900	0.249993
74	0.013500	0.242057
75	0.012500	0.251134
76	0.011500	0.250926
77	0.009900	0.245562
78	0.010100	0.247626
79	0.010000	0.258151
80	0.009000	0.257967
81	0.009000	0.251619
82	0.008900	0.253041
83	0.008500	0.253077
84	0.008400	0.251458
85	0.007200	0.251743
86	0.007900	0.254908
87	0.006800	0.255245
88	0.007800	0.258691
89	0.006700	0.262452
90	0.007300	0.263555
91	0.006900	0.264686
92	0.006800	0.264834
93	0.006200	0.263939
94	0.006500	0.265390
95	0.005800	0.265279
96	0.005500	0.266509
97	0.005400	0.269246
98	0.006000	0.270252
99	0.005500	0.271688
100	0.005000	0.271461
101	0.005000	0.268529
102	0.004400	0.269752
103	0.004300	0.268529
104	0.005400	0.269523
105	0.004400	0.268902
106	0.004200	0.272237
107	0.005300	0.275403
108	0.005100	0.277578
109	0.004400	0.272207
110	0.004500	0.268320
111	0.004500	0.270668
112	0.004000	0.270149
113	0.004500	0.265302
114	0.004200	0.270483
115	0.004100	0.276458
116	0.003800	0.273151
117	0.004100	0.264532
118	0.004100	0.267636
119	0.003700	0.276006
120	0.003600	0.281133
121	0.003700	0.275821
122	0.003600	0.266076
123	0.003600	0.261679
124	0.003700	0.263469
125	0.003700	0.268037
126	0.003300	0.271448
127	0.003100	0.276173
128	0.003200	0.280210
129	0.002600	0.280249
130	0.002900	0.279221
131	0.002900	0.276667
132	0.002900	0.274796
133	0.002800	0.274718
134	0.002700	0.275203
135	0.003200	0.275255
136	0.002800	0.275439
137	0.003300	0.275270
138	0.002800	0.276883
139	0.002800	0.279545
140	0.003100	0.278713
141	0.002200	0.278059
142	0.005600	0.280287
143	0.003000	0.281023
144	0.003200	0.281123
145	0.002700	0.279602
146	0.002300	0.277327
147	0.002100	0.276193
148	0.002600	0.277434
149	0.002300	0.278474
150	0.002300	0.278498
151	0.002500	0.278061
152	0.002100	0.277422
153	0.002100	0.276345
154	0.002000	0.276518
155	0.002200	0.276601
156	0.002100	0.277338
157	0.002500	0.278789
158	0.001800	0.280699
159	0.001800	0.280913
160	0.002000	0.280728
161	0.002300	0.280378
162	0.001700	0.280305
163	0.001500	0.279734
164	0.001800	0.279442
165	0.002000	0.279583
166	0.001800	0.279869
167	0.002000	0.280624
168	0.002000	0.281516
169	0.001500	0.281984
170	0.001800	0.282548
171	0.001700	0.281885
172	0.001600	0.281750
173	0.001700	0.281062
174	0.001800	0.280345
175	0.001600	0.280156
176	0.001500	0.280108
177	0.001600	0.280435
178	0.001500	0.280948
179	0.001500	0.281649
180	0.001300	0.282134
181	0.001400	0.282785
182	0.001600	0.282875
183	0.001600	0.283182
184	0.001300	0.283306
185	0.001700	0.283168
186	0.001700	0.283176
187	0.001400	0.282734
188	0.001500	0.282169
189	0.001400	0.281744
190	0.001400	0.281508
191	0.001500	0.281552
192	0.001500	0.281686
193	0.001500	0.281809
194	0.001600	0.281941
195	0.001500	0.281999
196	0.001400	0.281988
197	0.001300	0.281969
198	0.001700	0.282027
199	0.001700	0.282038
200	0.001500	0.282063
